regime,dataset,h,family,metric,n,baseline_L2,baseline_L8,pairnorm_L2,pairnorm_L8,baseline_depth_change,pairnorm_depth_change,interaction,positive_interactions,signflip_p,pairnorm_L8_effect
replicated,PubMed,0.1,GCN,normalized_dirichlet_energy,5,1.6998963388085386,0.5132612807606061,2.254677150404142,5.69314725050146,-1.1866350580479328,3.4384701000973186,4.625105158145251,5,0.0625,5.179885969740854
replicated,PubMed,0.1,GCN,effective_rank_ratio,5,0.10978478342294691,0.00782393161207434,0.7684189796447753,0.05972531288862226,-0.10196085181087255,-0.7086936667561531,-0.6067328149452805,0,0.0625,0.05190138127654792
replicated,PubMed,0.1,GCN,mean_pairwise_cosine_distance,5,0.428045392036438,0.049012374877929636,0.9979964852333069,0.9913712739944458,-0.3790330171585083,-0.006625211238861062,0.3724078059196473,5,0.0625,0.9423588991165162
replicated,PubMed,0.1,GraphSAGE,normalized_dirichlet_energy,5,1.3943873509830085,4.3996248231877474e-29,1.9728784152045535,2.780028546836429,-1.3943873509830085,0.8071501316318759,2.2015374826148846,5,0.0625,2.780028546836429
replicated,PubMed,0.1,GraphSAGE,effective_rank_ratio,5,0.36954177618026735,0.0078125,0.7323544025421143,0.029913993179798083,-0.36172927618026735,-0.7024404093623161,-0.3407111331820489,0,0.0625,0.02210149317979808
replicated,PubMed,0.1,GraphSAGE,mean_pairwise_cosine_distance,5,0.6032883763313294,2.384185791015625e-08,0.9968600749969483,0.9969568133354187,-0.6032883524894714,9.673833847045898e-05,0.6033850908279419,5,0.0625,0.9969567894935608
replicated,PubMed,0.5,GCN,normalized_dirichlet_energy,5,0.8836823483409578,6.889444576936211,1.5706896426436092,2.147204123881823,6.005762228595252,0.5765144812382136,-5.429247747357038,0,0.0625,-4.742240453054388
replicated,PubMed,0.5,GCN,effective_rank_ratio,5,0.12776416689157483,0.014464302361011441,0.7775928258895874,0.0587217383086681,-0.1132998645305634,-0.7188710875809192,-0.6055712230503559,0,0.0625,0.04425743594765666
replicated,PubMed,0.5,GCN,mean_pairwise_cosine_distance,5,0.35724420547485347,0.3909517407417297,0.9983404994010925,0.9971032738685608,0.03370753526687624,-0.001237225532531716,-0.03494476079940796,3,0.5,0.6061515331268311
replicated,PubMed,0.5,GraphSAGE,normalized_dirichlet_energy,5,0.8068627292174652,7.088009826776976e-24,1.449940995182549,1.4884718540033135,-0.8068627292174652,0.038530858820764326,0.8453935880382296,5,0.0625,1.4884718540033135
replicated,PubMed,0.5,GraphSAGE,effective_rank_ratio,5,0.3828289031982422,0.007812796346843221,0.770294439792633,0.031035741418600014,-0.37501610685139897,-0.739258698374033,-0.3642425915226341,0,0.0625,0.0232229450717568
