dataset,variant,model,replicate_design,graph_seed,init_seed,epoch,layer_name,embedding_dim,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,mean_pairwise_cosine_distance
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,4,65.0,2400,pns.6,128,0.1677841966161295,16.287195205688477,0.1272437125444412,0.8778834939002991
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,4,83.0,2400,pns.6,128,0.1165490524863189,17.113075256347656,0.133695900440216,0.8985934853553772
PubMed,center,GraphSAGECenterNorm,graph_x_init,5,11.0,2400,pns.6,128,5.74532372668893e-32,0.0,0.0,0.0
PubMed,center,GraphSAGECenterNorm,graph_x_init,5,29.0,2400,pns.6,128,1.4012984699241296e-33,0.0,0.0,1.1920928955078125e-07
PubMed,center,GraphSAGECenterNorm,graph_x_init,5,47.0,2400,pns.6,128,4.904544644734453e-32,0.0,0.0,0.0
PubMed,center,GraphSAGECenterNorm,graph_x_init,5,65.0,2400,pns.6,128,3.5032461748103235e-32,0.0,0.0,-1.1920928955078125e-07
PubMed,center,GraphSAGECenterNorm,graph_x_init,5,83.0,2400,pns.6,128,9.809089289468908e-33,0.0,0.0,1.1920928955078125e-07
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,5,11.0,2400,pns.6,128,1.913106477838972,4.205558300018311,0.032855924218893,0.8048629760742188
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,5,29.0,2400,pns.6,128,1.8363389892820632,3.629902839660645,0.0283586159348487,0.7259393930435181
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,5,47.0,2400,pns.6,128,1.8854076483473723,4.027592658996582,0.0314655676484108,0.7540760636329651
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,5,65.0,2400,pns.6,128,2.084360317313955,3.535881757736206,0.0276240762323141,0.7975254654884338
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,5,83.0,2400,pns.6,128,2.033846875337884,3.613202571868897,0.0282281450927257,0.785119891166687
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,5,11.0,2400,pns.6,128,0.0534507210733837,1.927852153778076,0.0150613449513912,0.3797726035118103
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,5,29.0,2400,pns.6,128,0.0271894234458311,1.3003066778182983,0.0101586459204554,0.1606319546699524
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,5,47.0,2400,pns.6,128,0.0460772389992961,2.948748588562012,0.0230370983481407,0.4717236757278442
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,5,65.0,2400,pns.6,128,0.0577054271817538,1.92628014087677,0.0150490636005997,0.3960291147232055
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,5,83.0,2400,pns.6,128,0.0591850631257088,1.652899146080017,0.0129132745787501,0.4108849167823791
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,5,11.0,2400,pns.6,128,0.1324714476866711,15.383524894714355,0.1201837882399559,0.8517585396766663
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,5,29.0,2400,pns.6,128,0.1146829302587176,12.8040771484375,0.1000318527221679,0.8528965711593628
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,5,47.0,2400,pns.6,128,0.1314940020061759,15.706876754760742,0.1227099746465683,0.8558262586593628
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,5,65.0,2400,pns.6,128,0.1205569750749767,15.440560340881348,0.1206293776631355,0.8620675206184387
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,5,83.0,2400,pns.6,128,0.1277416808565525,13.652430534362791,0.1066596135497093,0.8650561571121216
