dataset,model,graph_seed,init_seed,lr,test_best,best_val,nde,effective_rank,rank_ratio,pairwise
PubMed,GraphSAGE,4,65,0.03,0.39912882447242737,0.4016227126121521,7.128684166792669e-24,1.0000895261764526,0.0078131994232535,1.1920928955078125e-07
PubMed,GraphSAGE,4,83,0.03,0.39936748147010803,0.3995943069458008,3.3726542768618183e-25,1.0000215768814087,0.007812668569386,1.1920928955078125e-07
PubMed,GraphSAGEPairNorm,5,11,0.001,0.6631660461425781,0.6779918670654297,2.539734237008649,4.83415412902832,0.0377668291330337,0.9529277086257936
PubMed,GraphSAGEPairNorm,5,29,0.001,0.6674622297286987,0.6784989833831787,2.619741528184863,5.260766506195068,0.0410997383296489,0.9490415453910828
PubMed,GraphSAGEPairNorm,5,47,0.001,0.6704457402229309,0.686105489730835,2.5140938073939707,4.687134742736816,0.0366182401776313,0.9597780704498292
PubMed,GraphSAGEPairNorm,5,65,0.001,0.6595262289047241,0.6749492883682251,2.232993331293186,5.06484317779541,0.0395690873265266,0.9805763959884644
PubMed,GraphSAGEPairNorm,5,83,0.001,0.6638820767402649,0.6779918670654297,2.452220093963161,5.090601921081543,0.0397703275084495,0.9656308889389038
PubMed,GraphSAGE,5,11,0.001,0.39936748147010803,0.3995943069458008,1.975691000947388e-18,1.0130809545516968,0.0079146949574351,0.0
PubMed,GraphSAGE,5,29,0.001,0.39936748147010803,0.3995943069458008,0.0,1.000062108039856,0.0078129852190613,-1.1920928955078125e-07
PubMed,GraphSAGE,5,47,0.001,0.39936748147010803,0.3995943069458008,1.708824846090566e-16,1.1442327499389648,0.0089393183588981,0.0
PubMed,GraphSAGE,5,65,0.001,0.39936748147010803,0.3995943069458008,5.719657765102093e-18,1.0297876596450806,0.0080452160909771,-1.1920928955078125e-07
PubMed,GraphSAGE,5,83,0.001,0.39936748147010803,0.3995943069458008,1.1466685286942694e-18,1.0072846412658691,0.0078694112598896,1.1920928955078125e-07
PubMed,GraphSAGEPairNorm,5,11,0.003,0.7987349629402161,0.8083164095878601,2.687001795745204,4.635995864868164,0.0362187176942825,0.999781847000122
PubMed,GraphSAGEPairNorm,5,29,0.003,0.765737771987915,0.767241358757019,2.613983973958353,4.384848117828369,0.0342566259205341,0.9954877495765686
PubMed,GraphSAGEPairNorm,5,47,0.003,0.7873978018760681,0.7996957302093506,2.8139309712430647,4.687833786010742,0.0366237014532089,0.997084617614746
PubMed,GraphSAGEPairNorm,5,65,0.003,0.7868010997772217,0.8088235259056091,2.920094527814232,4.137085437774658,0.0323209799826145,0.9956073760986328
PubMed,GraphSAGEPairNorm,5,83,0.003,0.7999880313873291,0.8083164095878601,2.841259939128112,4.063360214233398,0.0317450016736984,1.0001063346862793
PubMed,GraphSAGE,5,11,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,1.1920928955078125e-07
PubMed,GraphSAGE,5,29,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,4.76837158203125e-07
PubMed,GraphSAGE,5,47,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,0.0
PubMed,GraphSAGE,5,65,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,1.1920928955078125e-07
PubMed,GraphSAGE,5,83,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0000488758087158,0.0078128818422555,1.1920928955078125e-07
PubMed,GraphSAGEPairNorm,5,11,0.03,0.8390118479728699,0.8564908504486084,2.8058232653451696,5.28202486038208,0.041265819221735,0.997475802898407
PubMed,GraphSAGEPairNorm,5,29,0.03,0.8382958173751831,0.8590263724327087,2.5424135318084726,5.290261745452881,0.0413301698863506,0.9926521182060242
PubMed,GraphSAGEPairNorm,5,47,0.03,0.8388328552246094,0.8610547184944153,2.515554750229329,5.199970245361328,0.0406247675418853,0.988875925540924
PubMed,GraphSAGEPairNorm,5,65,0.03,0.8463512063026428,0.8575050234794617,2.5084735296522878,5.285218238830566,0.0412907674908638,0.9956346154212952
PubMed,GraphSAGEPairNorm,5,83,0.03,0.8408616185188293,0.860040545463562,2.5881504729997467,5.577569961547852,0.0435747653245925,0.9955223798751832
PubMed,GraphSAGE,5,11,0.03,0.39936748147010803,0.3995943069458008,5.941075009991525e-16,1.2637765407562256,0.009873254224658,-1.1920928955078125e-07
