dataset,h,variant,model,graph_seed,init_seed,lr,test_acc,epoch,layer_name,embedding_dim,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,pairwise,source
PubMed,0.1,full,GraphSAGEPairNorm,5,83,0.01,0.8419356346130371,2400,pns.6,128,3.03616625728,3.947535514831543,0.0308401212096214,0.9966167211532592,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,1,11,0.01,0.793842077255249,2400,pns.6,128,1.9495099391716249,3.571950912475586,0.0279058665037155,0.7572213411331177,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,1,29,0.01,0.8088787794113159,2400,pns.6,128,1.960829704450736,3.8068361282348633,0.0297409072518348,0.7937202453613281,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,1,47,0.01,0.811384916305542,2400,pns.6,128,1.8678084385724003,3.9938364028930655,0.031201846897602,0.7669150233268738,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,1,65,0.01,0.7819082140922546,2400,pns.6,128,2.043238427185075,3.5961837768554688,0.0280951857566833,0.8006263375282288,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,1,83,0.01,0.7922906875610352,2400,pns.6,128,2.1237167107741457,3.902154684066773,0.0304855834692716,0.8931338787078857,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,2,11,0.01,0.8153231143951416,2400,pns.6,128,2.057236705563489,3.652604341506958,0.0285359714180231,0.8119584918022156,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,2,29,0.01,0.812995970249176,2400,pns.6,128,1.9862835284622269,4.125744342803955,0.0322323776781559,0.8122044205665588,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,2,47,0.01,0.8263619542121887,2400,pns.6,128,1.937847327710108,3.779539823532105,0.0295276548713445,0.7550818920135498,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,2,65,0.01,0.8126976490020752,2400,pns.6,128,2.036147377578841,3.658502578735352,0.0285820513963699,0.8268420696258545,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,2,83,0.01,0.8094158172607422,2400,pns.6,128,2.100163191702835,3.596535444259644,0.0280979331582784,0.7907810211181641,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,3,11,0.01,0.8042245507240295,2400,pns.6,128,1.8848614280920368,3.601264953613281,0.0281348824501037,0.7206358909606934,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,3,29,0.01,0.8058953285217285,2400,pns.6,128,1.954216691384728,3.5969088077545166,0.0281008500605821,0.795685887336731,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,3,47,0.01,0.8017781376838684,2400,pns.6,128,1.6734670838517451,3.681554555892944,0.0287621449679136,0.6729769706726074,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,3,65,0.01,0.8013604283332825,2400,pns.6,128,1.9134282136981395,3.8930869102478023,0.0304147414863109,0.7546916604042053,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,3,83,0.01,0.7998687028884888,2400,pns.6,128,1.7855321635593446,3.3849353790283203,0.0264448076486587,0.712944746017456,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,4,11,0.01,0.819559633731842,2400,pns.6,128,2.107666682263225,3.762122631072998,0.0293915830552577,0.8019377589225769,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,4,29,0.01,0.809356153011322,2400,pns.6,128,2.1975584133352366,3.449645519256592,0.0269503556191921,0.8338505029678345,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,4,47,0.01,0.8213496804237366,2400,pns.6,128,1.8652832094230765,3.7263150215148926,0.0291118361055851,0.7235107421875,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,4,65,0.01,0.806074321269989,2400,pns.6,128,2.085866781807069,3.806203603744507,0.0297359656542539,0.8424321413040161,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,4,83,0.01,0.8033891916275024,2400,pns.6,128,1.89555234696977,3.3789780139923096,0.0263982657343149,0.7434542179107666,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,5,11,0.01,0.8054179549217224,2400,pns.6,128,1.913106477838972,4.205558300018311,0.032855924218893,0.8048629760742188,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,5,29,0.01,0.8110268712043762,2400,pns.6,128,1.8363389892820632,3.629902839660645,0.0283586159348487,0.7259393930435181,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,5,47,0.01,0.8189629316329956,2400,pns.6,128,1.8854076483473723,4.027592658996582,0.0314655676484108,0.7540760636329651,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,5,65,0.01,0.8116235733032227,2400,pns.6,128,2.084360317313955,3.535881757736206,0.0276240762323141,0.7975254654884338,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,scale,GraphSAGEScaleNorm,5,83,0.01,0.820335328578949,2400,pns.6,128,2.033846875337884,3.613202571868897,0.0282281450927257,0.785119891166687,realworld_pairnorm_component_ablation_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,1,11,0.01,0.9865545034408569,2400,convs.6,128,0.1464624814051462,9.97891330718994,0.0779602602124214,0.8015292286872864,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,1,29,0.01,0.9875928163528442,2400,convs.6,128,0.0894360006418847,10.903643608093262,0.0851847156882286,0.8777592182159424,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,1,47,0.01,0.9804288148880005,2400,convs.6,128,0.0613965891351279,10.281330108642578,0.0803228914737701,0.9309657216072084,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,1,65,0.01,0.986710250377655,2400,convs.6,128,0.1259097504549522,10.445033073425291,0.0816018208861351,0.9141425490379332,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,1,83,0.01,0.9820899963378906,2400,convs.6,128,0.0570741624573287,9.879908561706545,0.0771867856383323,0.8407852053642273,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,2,11,0.01,0.9869698286056519,2400,convs.6,128,0.0357349341482896,8.083728790283203,0.0631541311740875,0.9021382331848145,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,2,29,0.01,0.9866583347320557,2400,convs.6,128,0.0541472007349438,9.354439735412598,0.0730815604329109,0.854515790939331,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,2,47,0.01,0.9851529002189636,2400,convs.6,128,0.0491091971494236,10.042866706848145,0.0784598961472511,0.8763588666915894,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,2,65,0.01,0.9831801652908325,2400,convs.6,128,0.0683164233913143,9.79222583770752,0.07650176435709,0.8972896337509155,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,2,83,0.01,0.9873851537704468,2400,convs.6,128,0.0701888170486909,10.377471923828123,0.0810739994049072,0.8798595070838928,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,3,11,0.01,0.9853085875511169,2400,convs.6,128,0.0713812505941629,9.960572242736816,0.0778169706463813,0.9093694686889648,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,3,29,0.01,0.9760161638259888,2400,convs.6,128,0.1073733695293618,10.973748207092283,0.0857324078679084,0.852851390838623,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,3,47,0.01,0.9812074899673462,2400,convs.6,128,0.0650886537448815,10.30737590789795,0.0805263742804527,0.8731390237808228,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,3,65,0.01,0.984218418598175,2400,convs.6,128,0.0631401354540656,9.07308864593506,0.0708835050463676,0.888235330581665,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,3,83,0.01,0.983958899974823,2400,convs.6,128,0.0852899507068759,10.009775161743164,0.0782013684511184,0.8766567707061768,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,4,11,0.01,0.9849452376365662,2400,convs.6,128,0.0500292378450821,9.416749954223633,0.0735683590173721,0.9245330691337584,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,4,29,0.01,0.9811036586761475,2400,convs.6,128,0.0662182444390688,9.977476119995115,0.0779490321874618,0.8775831460952759,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,4,47,0.01,0.9854124188423157,2400,convs.6,128,0.0617078442157133,9.682419776916504,0.0756439045071601,0.9221925139427184,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,4,65,0.01,0.9812074899673462,2400,convs.6,128,0.0385025207048407,8.466425895690918,0.0661439523100853,0.8998281359672546,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,4,83,0.01,0.9844779968261719,2400,convs.6,128,0.0363555904206453,9.729469299316406,0.0760114789009094,0.8528351187705994,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,5,11,0.01,0.9865025877952576,2400,convs.6,128,0.1016957521492637,11.640419960021973,0.0909407809376716,0.844792366027832,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,5,29,0.01,0.9844779968261719,2400,convs.6,128,0.0999782578327381,9.773862838745115,0.0763583034276962,0.9076610207557678,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,5,47,0.01,0.9831282496452332,2400,convs.6,128,0.0486580001434029,9.33482265472412,0.0729283019900322,0.9082430601119996,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,5,65,0.01,0.9802730679512024,2400,convs.6,128,0.1074397342651304,10.624222755432127,0.0830017402768135,0.8851333856582642,realworld_pairnorm_component_reference_matched_lr01_v2
Roman-Empire,0.9,baseline,GraphSAGE,5,83,0.01,0.9804807305335999,2400,convs.6,128,0.0580857376801734,9.275915145874023,0.0724680870771408,0.7646429538726807,realworld_pairnorm_component_reference_matched_lr01_v2
