regime,dataset_raw,dataset,h,model,family,pairnorm,seed,split_idx,depth,epoch,layer_index,layer_name,embedding_dim,normalized_dirichlet_energy,effective_rank_ratio,mean_pairwise_cosine_distance,class_separation_margin,fisher_discriminant_ratio
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,1,0,10,2400,9,convs.8,128,9.920563807637044e-31,0.0078125,1.1920928955078125e-07,0.0,1.2940577268600464
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,2,0,10,2400,9,convs.8,128,1.3048381136941928e-39,0.0078125,0.0,0.0,1.007856011390686
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,3,0,10,2400,9,convs.8,128,6.694860695762857e-20,0.0078253597021102,0.0,0.0,1.073119044303894
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,4,0,10,2400,9,convs.8,128,6.312221335273898e-33,0.0078125,1.1920928955078125e-07,0.0,0.9989566802978516
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,5,0,10,2400,9,convs.8,128,6.045193806868478e-28,0.0078125,1.1920928955078125e-07,0.0,0.1254925429821014
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,1,0,2,2400,1,convs.0,128,0.9980748656191594,0.319045215845108,0.3956788778305053,0.3337664753198623,1.0809828042984009
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,2,0,2,2400,1,convs.0,128,0.9896201411516172,0.3016920387744903,0.3918666839599609,0.3420487493276596,1.0813169479370115
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,3,0,2,2400,1,convs.0,128,0.9320582745799592,0.3221079707145691,0.3764259815216064,0.3311496376991272,1.1607091426849363
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,4,0,2,2400,1,convs.0,128,1.060679583527862,0.3047793209552765,0.4085295796394348,0.3698530942201614,1.1541699171066284
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,5,0,2,2400,1,convs.0,128,1.1311737231088452,0.3122718930244446,0.4488450884819031,0.3975922018289566,1.1903111934661863
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,1,0,4,2400,3,convs.2,128,2.006940104413911,0.0252574160695076,0.7212105393409729,0.6859800815582275,1.4410566091537476
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,2,0,4,2400,3,convs.2,128,1.9616619850688253,0.0251716095954179,0.7218717336654663,0.6697985827922821,1.355790376663208
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,3,0,4,2400,3,convs.2,128,1.8306721662015235,0.025430753827095,0.7160530090332031,0.6682970225811005,1.3379286527633667
