dataset,model,graph_seed,init_seed,lr,best_epoch,best_val,test_best,source
Roman-Empire,GraphSAGE,1,11,0.003,2214,0.4673433303833008,0.4577687680721283,lr_sensitivity
Roman-Empire,GraphSAGE,1,29,0.003,2385,0.4721977114677429,0.45735347270965576,lr_sensitivity
Roman-Empire,GraphSAGE,1,47,0.003,2282,0.48587819933891296,0.4736541509628296,lr_sensitivity
Roman-Empire,GraphSAGE,1,65,0.003,1834,0.44439542293548584,0.4372631311416626,lr_sensitivity
Roman-Empire,GraphSAGE,1,83,0.003,1920,0.4721977114677429,0.46706119179725647,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,11,0.03,1683,0.6195939779281616,0.5970513224601746,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,29,0.03,1683,0.6187114119529724,0.6019311547279358,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,47,0.03,1719,0.6297440528869629,0.6053054928779602,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,65,0.03,1710,0.6244483590126038,0.5939884781837463,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,1,83,0.03,593,0.6173874735832214,0.5898354053497314,lr_sensitivity
Roman-Empire,GraphSAGE,1,11,0.03,24,0.1456310749053955,0.1392306536436081,lr_sensitivity
Roman-Empire,GraphSAGE,1,29,0.03,60,0.1460723727941513,0.14296838641166687,lr_sensitivity
Roman-Empire,GraphSAGE,1,47,0.03,1517,0.3614298403263092,0.36302757263183594,lr_sensitivity
Roman-Empire,GraphSAGE,1,65,0.03,42,0.14298322796821594,0.13995742797851562,lr_sensitivity
Roman-Empire,GraphSAGE,1,83,0.03,1410,0.38526037335395813,0.37029537558555603,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,11,0.001,2137,0.3698146641254425,0.3662980794906616,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,29,0.001,214,0.3605472147464752,0.3614182472229004,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,47,0.001,1756,0.36672550439834595,0.356175035238266,lr_sensitivity
