dataset,h,feature_signal,variant,model,graph_seed,init_seed,lr,test_acc,epoch,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,pairwise,source
cSBM,0.1,0.5,center,GraphSAGECenterNorm,4,11,0.03,0.9999999403953552,200,3.628560974039977,1.6509087085723877,0.0128977242857217,1.0001850128173828,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,4,29,0.03,0.9999999403953552,200,3.6457725543271327,1.5677995681762695,0.0122484341263771,1.0004342794418335,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,4,47,0.03,0.9994117021560669,200,3.649208990786715,1.4490646123886108,0.011320817284286,1.000470757484436,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,4,65,0.03,0.9999999403953552,200,3.6314443450856615,1.7006049156188965,0.0132859759032726,1.0002332925796509,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,4,83,0.03,0.9970588088035583,200,3.6194138970152014,1.900533676147461,0.014847919344902,1.0001039505004885,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,4,11,0.03,0.9794117212295532,200,2.487894465358407,1.4034098386764526,0.0109641393646597,0.6784398555755615,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,4,29,0.03,0.9994117021560669,200,2.5952432936205017,1.314165711402893,0.0102669196203351,0.7015954256057739,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,4,47,0.03,0.9999999403953552,200,2.44472275876407,1.2406561374664309,0.0096926260739564,0.6679781675338745,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,4,65,0.03,0.9958823323249817,200,2.501786441782168,1.3102424144744873,0.0102362688630819,0.6711089611053467,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,4,83,0.03,0.9952940940856934,200,1.702454615224508,1.2395410537719729,0.0096839144825935,0.4353438019752502,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,5,11,0.03,0.9994117021560669,200,3.580147426262412,2.1559088230133057,0.0168430376797914,0.9998430013656616,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,5,29,0.03,0.9999999403953552,200,3.3883023126765885,2.5396344661712646,0.019840894266963,0.9932371973991394,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,5,47,0.03,0.994705855846405,200,3.603701104751717,2.121909141540528,0.0165774151682853,1.0001434087753296,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,5,65,0.03,0.9994117021560669,200,3.602054235630008,1.7377623319625854,0.0135762682184576,1.000000238418579,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,5,83,0.03,0.9976470470428467,200,3.58323210460844,2.1104061603546143,0.0164875481277704,0.999994456768036,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,5,11,0.03,0.9982352256774902,200,2.6689442025949988,1.3767951726913452,0.0107562122866511,0.7446994781494141,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,5,29,0.03,0.9988234639167786,200,2.6662820179110818,1.3124322891235352,0.0102533772587776,0.750173807144165,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,5,47,0.03,0.9988234639167786,200,2.776627652832166,1.3357480764389038,0.0104355318471789,0.7587230205535889,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,5,65,0.03,0.99647057056427,200,2.6477492560144693,1.397245168685913,0.0109159778803586,0.7337112426757812,csbm_l8_pairnorm_component_ablation_fs050
