dataset,model,depth,graph_seed,seed,split_idx,best_epoch,best_val,test_best,data_path
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,3,4,4,0,1172,0.9338067770004272,0.9231744408607483,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,3,5,5,0,811,0.928480863571167,0.9246957302093506,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,4,1,1,0,295,0.9322850704193115,0.9132859706878662,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,4,2,2,0,74,0.9274664521217346,0.9252028465270996,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,4,3,3,0,200,0.9229013919830322,0.9259634613990784,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,4,4,4,0,827,0.9343140125274658,0.9203853607177734,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,4,5,5,0,1546,0.9294953346252441,0.9257099032402039,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,1,1,0,1816,0.9312706589698792,0.9193711876869202,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,2,2,0,363,0.9259447455406189,0.9252028465270996,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,3,3,0,249,0.9239158630371094,0.9198782444000244,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,4,4,0,276,0.9348212480545044,0.9264705777168274,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
