dataset,model,architecture,uses_pairnorm,num_layers,hidden_channels,seed,graph_seed,split_idx,target_homophily,realized_homophily,best_epoch,nearest_best_metric_epoch,best_test_acc,best_val_acc,best_hidden_pairwise_distance,best_hidden_edge_distance,best_hidden_rank_ratio,best_hidden_normalized_dirichlet,final_hidden_pairwise_distance,final_hidden_edge_distance,final_hidden_rank_ratio,final_hidden_normalized_dirichlet
CSBM-H0.5,GraphSAGEPairNorm,GraphSAGE,True,8,128,2,2,0,0.5,0.5004213452339172,196,200,0.6299999952316284,0.6549999713897705,0.9989879727363586,0.9780746102333068,0.0243127513676881,1.9459762929457003,0.9989879727363586,0.9780746102333068,0.0243127513676881,1.9459762929457003
CSBM-H0.5,GCN,GCN,False,2,128,3,3,0,0.5,0.4970986545085907,8,8,0.5874999761581421,0.6299999952316284,0.9732528328895568,0.8812544941902161,0.4278164505958557,1.7586427668875693,0.9570525288581848,0.8650331497192383,0.3757300078868866,1.7251522598197255
CSBM-H0.5,GCN,GCN,False,3,128,3,3,0,0.5,0.4970986545085907,106,100,0.5174999833106995,0.5349999666213989,0.2463545799255371,0.2065440565347671,0.0201814472675323,0.5329254435936102,0.3264462351799011,0.2660079598426819,0.0189028624445199,0.687850754022595
CSBM-H0.5,GCN,GCN,False,4,128,3,3,0,0.5,0.4970986545085907,9,8,0.48749998211860657,0.5224999785423279,0.0011153221130371,0.0010960241779685,0.0519361346960067,0.0087032474012668,0.0,7.795340373206727e-09,0.0081756748259067,4.185673374446439e-09
CSBM-H0.5,GCN,GCN,False,5,128,3,3,0,0.5,0.4970986545085907,28,32,0.5,0.5274999737739563,0.0003014802932739,0.0003329477622173,0.0083891991525888,0.0007897988105422,0.0,-1.3308540935952353e-08,0.0080070346593856,8.022178905451034e-09
CSBM-H0.5,GCN,GCN,False,6,128,3,3,0,0.5,0.4970986545085907,112,100,0.48499998450279236,0.512499988079071,1.4066696166992188e-05,1.593158594914712e-05,0.0078210970386862,3.6153874080892976e-05,2.384185791015625e-07,2.3456968278878779e-07,0.0078349420800805,4.939187544799606e-07
CSBM-H0.5,GCN,GCN,False,7,128,3,3,0,0.5,0.4970986545085907,21,16,0.5199999809265137,0.5399999618530273,0.0005285143852233,0.0005762719083577,0.0083844643086195,0.0014358415603317,1.1920928955078125e-07,-2.6280082110474723e-08,0.0120686823502182,9.384663167885913e-12
CSBM-H0.5,GCN,GCN,False,8,128,3,3,0,0.5,0.4970986545085907,65,50,0.48499998450279236,0.512499988079071,3.0994415283203125e-06,3.4999452509509865e-06,0.0079865986481308,7.0027353396272985e-06,0.0,-3.646989554795255e-08,0.0099677527323365,1.8155563512696718e-11
CSBM-H0.5,GCNPairNorm,GCN,True,2,128,3,3,0,0.5,0.4970986545085907,3,2,0.5799999833106995,0.625,1.0003299713134766,0.9061790108680724,0.454293429851532,1.8034942254252,1.0005861520767212,0.9107266068458556,0.3564465939998626,1.8175574834576904
CSBM-H0.5,GCNPairNorm,GCN,True,3,128,3,3,0,0.5,0.4970986545085907,20,16,0.5249999761581421,0.5550000071525574,0.9993094205856324,0.8782148361206055,0.2546165883541107,1.7088860661780618,0.9993392825126648,0.8973610997200012,0.2691965401172638,1.768960634293382
