dataset,architecture,num_layers,hidden_channels,seed,graph_seed,split_idx,target_homophily,realized_homophily,baseline_best_epoch,baseline_best_test_acc,baseline_best_val_acc,baseline_best_hidden_pairwise_distance,baseline_best_hidden_edge_distance,baseline_best_hidden_rank_ratio,baseline_best_hidden_normalized_dirichlet,baseline_final_hidden_pairwise_distance,baseline_final_hidden_edge_distance,baseline_final_hidden_rank_ratio,baseline_final_hidden_normalized_dirichlet,pairnorm_best_epoch,pairnorm_best_test_acc,pairnorm_best_val_acc,pairnorm_best_hidden_pairwise_distance,pairnorm_best_hidden_edge_distance,pairnorm_best_hidden_rank_ratio,pairnorm_best_hidden_normalized_dirichlet,pairnorm_final_hidden_pairwise_distance,pairnorm_final_hidden_edge_distance,pairnorm_final_hidden_rank_ratio,pairnorm_final_hidden_normalized_dirichlet,delta_best_epoch,delta_best_test_acc,delta_best_val_acc,delta_best_hidden_pairwise_distance,delta_best_hidden_edge_distance,delta_best_hidden_rank_ratio,delta_best_hidden_normalized_dirichlet,delta_final_hidden_pairwise_distance,delta_final_hidden_edge_distance,delta_final_hidden_rank_ratio,delta_final_hidden_normalized_dirichlet,accuracy_delta_pp
CSBM-H0.1,GraphSAGE,3,128,3,3,0,0.1,0.10047942399978638,167,1.0,1.0,0.4133066534996032,0.7327303886413574,0.0430751703679561,1.6525394791989063,0.4221285581588745,0.7522608041763306,0.0318313464522361,1.6687511534413153,12,1.0,1.0,1.0003339052200315,1.769061803817749,0.1085863709449768,3.469785219046865,1.0001972913742063,1.7745146751403809,0.1650809794664383,3.5639190459791745,-155,0.0,0.0,0.5870272517204282,1.0363314151763916,0.0655112005770207,1.8172457398479587,0.5780687332153318,1.0222538709640503,0.1332496330142022,1.8951678925378592,0.0
CSBM-H0.1,GraphSAGE,3,128,4,4,0,0.1,0.09760119765996933,23,0.9975000023841858,1.0,0.3910285830497741,0.6726494431495667,0.1528242975473404,1.533214018600037,0.5327900648117065,0.9464855790138244,0.0268689580261707,2.057410243473369,7,0.9975000023841858,1.0,1.0007432699203491,1.7611770629882812,0.1170467436313629,3.482292971762835,1.0009311437606812,1.7808892726898191,0.1648647785186767,3.566108659955294,-16,0.0,0.0,0.609714686870575,1.0885276198387146,-0.03577755391597749,1.949078953162798,0.4681410789489746,0.8344036936759948,0.137995820492506,1.5086984164819248,0.0
CSBM-H0.1,GraphSAGE,3,128,5,5,0,0.1,0.10260676592588425,14,0.9950000047683716,0.9975000023841858,0.3645477890968323,0.6269199252128601,0.1511971950531005,1.440455072283085,0.4662023782730102,0.8169947266578674,0.0397599004209041,1.782589195130895,22,1.0,1.0,0.9999788999557496,1.7854849100112915,0.0615003444254398,3.5458001173616926,1.0009602308273315,1.7692793607711792,0.1655984073877334,3.5435399468208293,8,0.004999995231628418,0.002499997615814209,0.6354311108589173,1.1585649847984314,-0.0896968506276607,2.1053450450786078,0.5347578525543213,0.9522846341133118,0.1258385069668293,1.7609507516899343,0.4999995231628418
CSBM-H0.1,GraphSAGE,4,128,1,1,0,0.1,0.09996520727872849,12,0.9975000023841858,1.0,0.3406823277473449,0.6051447987556458,0.027347071096301,1.305895684047488,0.5743993520736694,1.0368998050689695,0.0128541514277458,2.1587980699505374,3,0.9975000023841858,1.0,0.9999867081642152,1.6060885190963743,0.4861151874065399,3.246276639434404,1.0008702278137207,1.7946512699127195,0.036550398916006,3.61277938170262,-9,0.0,0.0,0.6593043804168703,1.0009437203407285,0.4587681163102389,1.940380955386916,0.42647087574005127,0.75775146484375,0.0236962474882602,1.4539813117520826,0.0
CSBM-H0.1,GraphSAGE,4,128,2,2,0,0.1,0.10044276714324951,7,1.0,1.0,0.5330881476402283,0.948893427848816,0.0288986209779977,2.036042880353085,0.5643446445465088,1.00987708568573,0.0127473659813404,2.117668991704876,2,1.0,1.0,1.0002176761627195,1.5171164274215698,0.5551027655601501,3.093813558806794,0.9999037981033324,1.791147232055664,0.0399481505155563,3.6179253172580585,-5,0.0,0.0,0.46712952852249123,0.5682229995727538,0.5262041445821525,1.0577706784537093,0.4355591535568236,0.7812701463699341,0.0272007845342159,1.5002563255531824,0.0
CSBM-H0.1,GraphSAGE,4,128,3,3,0,0.1,0.10047942399978638,4,1.0,1.0,0.471675157546997,0.8146677613258362,0.1613393425941467,1.779312971609761,0.6269006729125977,1.1282049417495728,0.0127122895792126,2.370097623412646,2,1.0,1.0,1.0004160404205322,1.546659231185913,0.5446960926055908,3.138696790002625,1.0006957054138184,1.7919492721557615,0.0381834730505943,3.614997783209448,-2,0.0,0.0,0.5287408828735352,0.7319914698600769,0.3833567500114441,1.359383818392864,0.3737950325012207,0.6637443304061887,0.025471183471381702,1.2449001597968024,0.0
CSBM-H0.1,GraphSAGE,4,128,4,4,0,0.1,0.09760119765996933,8,1.0,1.0,0.469541847705841,0.8300586342811584,0.0383168123662471,1.802382536188828,0.558683454990387,1.0041754245758057,0.0133905420079827,2.1178018145157678,2,1.0,1.0,1.0000208616256714,1.4900856018066406,0.5779759883880615,3.0610254435605486,1.0004249811172483,1.7975926399230957,0.0422528460621833,3.625954455558504,-6,0.0,0.0,0.5304790139198303,0.6600269675254822,0.5396591760218145,1.2586429073717207,0.44174152612686135,0.79341721534729,0.028862304054200597,1.5081526410427362,0.0
CSBM-H0.1,GraphSAGE,4,128,5,5,0,0.1,0.10260676592588425,53,1.0,1.0,0.6315882802009583,1.122457504272461,0.0173644553869962,2.3638913612503134,0.6173089742660522,1.1009069681167605,0.0109909372404217,2.3103124923445155,23,1.0,1.0,0.9996259212493896,1.7923091650009155,0.0143640665337443,3.601176071727787,1.000810623168945,1.787442326545715,0.0409702360630035,3.5990013157711207,-30,0.0,0.0,0.3680376410484314,0.6698516607284546,-0.0030003888532518994,1.2372847104774736,0.38350164890289284,0.6865353584289546,0.0299792988225818,1.2886888234266052,0.0
CSBM-H0.1,GraphSAGE,5,128,1,1,0,0.1,0.09996520727872849,6,1.0,1.0,0.1298783421516418,0.2237152308225631,0.1118071004748344,0.4701319215304683,0.5862669944763184,1.0542036294937134,0.011534908786416,2.1809049316551654,2,1.0,1.0,1.000085473060608,1.7323933839797974,0.3242476880550384,3.4711593172331456,1.0004501342773438,1.7958920001983645,0.0152893299236893,3.623145725162024,-4,0.0,0.0,0.8702071309089661,1.5086781531572342,0.212440587580204,3.0010273957026774,0.4141831398010254,0.7416883707046511,0.0037544211372732995,1.4422407935068584,0.0
CSBM-H0.1,GraphSAGE,5,128,2,2,0,0.1,0.10044276714324951,2,0.9950000047683716,1.0,0.0378836989402771,0.051541581749916,0.4077413976192474,0.1062998460872883,0.5943129658699036,1.070016622543335,0.0111136334016919,2.215608234370896,2,1.0,1.0,0.9970430135726928,1.6518285274505615,0.4593610465526581,3.327545539358962,1.0008151531219482,1.7967509031295776,0.0164689645171165,3.629579961165743,0,0.004999995231628418,0.0,0.9591593146324157,1.6002869457006454,0.0516196489334107,3.221245693271674,0.4065021872520447,0.7267342805862427,0.005355331115424602,1.413971726794847,0.4999995231628418
