dataset,model,depth,graph_seed,init_seed,split_idx,best_epoch,best_val,test_best,data_path
RW-Roman-empire-H0.9-LOW,GraphSAGE,8,1,47,0,2343,0.9832303524017334,0.9804288148880005,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGE,8,1,65,0,1986,0.9894086718559265,0.986710250377655,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-Roman-empire-H0.9-LOW,GraphSAGE,8,1,83,0,2144,0.9858782291412354,0.9820899963378906,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,7,2,11,0,923,0.8549695611000061,0.8314934968948364,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,7,2,29,0,1931,0.8524340391159058,0.836207389831543,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,7,2,47,0,1444,0.8529411554336548,0.8334029316902161,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,7,2,65,0,842,0.8539553284645081,0.8416969776153564,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,7,2,83,0,528,0.8524340391159058,0.8331642746925354,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,8,2,11,0,1275,0.8549695611000061,0.8361477255821228,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,8,2,29,0,942,0.8569979667663574,0.8339399695396423,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
