dataset_name,h,graph_seed,init_seed,gs_L7,gs_L8,pn_L7,pn_L8,gs_depth_change,pn_depth_change,interaction,pn_L8_effect
PubMed,0.9,1,11,0.8872843980789185,0.8925949931144714,0.8881794810295105,0.8891341686248779,0.0053105950355529785,0.0009546875953674316,-0.004355907440185547,-0.003460824489593506
PubMed,0.9,1,29,0.8858523368835449,0.8840026259422302,0.8840026259422302,0.8804821372032166,-0.0018497109413146973,-0.003520488739013672,-0.0016707777976989746,-0.003520488739013672
PubMed,0.9,1,47,0.886747419834137,0.399367481470108,0.8845993280410767,0.8934303522109985,-0.487379938364029,0.008831024169921875,0.49621096253395086,0.49406287074089056
PubMed,0.9,1,65,0.8843606114387512,0.399367481470108,0.8856136798858643,0.8839429616928101,-0.48499312996864324,-0.0016707181930541992,0.48332241177558904,0.4845754802227021
PubMed,0.9,1,83,0.8826302289962769,0.888358473777771,0.8804821372032166,0.8802434206008911,0.005728244781494141,-0.00023871660232543945,-0.00596696138381958,-0.008115053176879883
PubMed,0.9,2,11,0.8823318481445312,0.879766047000885,0.8851959705352783,0.8890745043754578,-0.0025658011436462402,0.0038785338401794434,0.006444334983825684,0.009308457374572754
PubMed,0.9,2,29,0.8820335268974304,0.8809594511985779,0.8806014657020569,0.8715913891792297,-0.001074075698852539,-0.009010076522827148,-0.00793600082397461,-0.009368062019348145
PubMed,0.9,2,47,0.883047878742218,0.8819738626480103,0.8800644278526306,0.8833462595939636,-0.0010740160942077637,0.003281831741333008,0.0043558478355407715,0.0013723969459533691
PubMed,0.9,2,65,0.8826302289962769,0.399367481470108,0.8758279085159302,0.8827495574951172,-0.4832627475261689,0.006921648979187012,0.4901843965053559,0.4833820760250092
PubMed,0.9,2,83,0.8848379850387573,0.8816754817962646,0.8856733441352844,0.8887761831283569,-0.0031625032424926758,0.0031028389930725098,0.0062653422355651855,0.007100701332092285
PubMed,0.9,3,11,0.8825108408927917,0.894027054309845,0.880183756351471,0.882689893245697,0.011516213417053223,0.0025061368942260742,-0.009010076522827148,-0.01133716106414795
PubMed,0.9,3,29,0.8885374665260315,0.8817351460456848,0.8791694045066833,0.8777373433113098,-0.00680232048034668,-0.0014320611953735352,0.0053702592849731445,-0.003997802734375
PubMed,0.9,3,47,0.8832865953445435,0.8900888562202454,0.8805418014526367,0.883465588092804,0.006802260875701904,0.0029237866401672363,-0.003878474235534668,-0.006623268127441406
PubMed,0.9,3,65,0.888358473777771,0.8861507177352905,0.8837639093399048,0.8961751461029053,-0.0022077560424804688,0.012411236763000488,0.014618992805480957,0.010024428367614746
PubMed,0.9,3,83,0.8808997869491577,0.8829285502433777,0.8874634504318237,0.8822125196456909,0.0020287632942199707,-0.0052509307861328125,-0.007279694080352783,-0.0007160305976867676
PubMed,0.9,4,11,0.8876424431800842,0.8884181380271912,0.8875231146812439,0.8840622901916504,0.0007756948471069336,-0.003460824489593506,-0.0042365193367004395,-0.0043558478355407715
PubMed,0.9,4,29,0.8923563361167908,0.8844799399375916,0.891998291015625,0.8844202756881714,-0.007876396179199219,-0.007578015327453613,0.00029838085174560547,-5.9664249420166016e-05
PubMed,0.9,4,47,0.8882988095283508,0.881019115447998,0.8963541984558105,0.8901485800743103,-0.007279694080352783,-0.006205618381500244,0.001074075698852539,0.009129464626312256
PubMed,0.9,4,65,0.883047878742218,0.8791097402572632,0.8838832378387451,0.8936094045639038,-0.003938138484954834,0.009726166725158691,0.013664305210113525,0.014499664306640625
PubMed,0.9,4,83,0.8783936500549316,0.8771406412124634,0.8844202756881714,0.8790500164031982,-0.0012530088424682617,-0.0053702592849731445,-0.004117250442504883,0.0019093751907348633
PubMed,0.9,5,11,0.8850169777870178,0.8823915123939514,0.8844202756881714,0.878154993057251,-0.0026254653930664062,-0.00626528263092041,-0.003639817237854004,-0.0042365193367004395
PubMed,0.9,5,29,0.8866877555847168,0.8813771605491638,0.8943850994110107,0.8773196339607239,-0.0053105950355529785,-0.017065465450286865,-0.011754870414733887,-0.004057526588439941
PubMed,0.9,5,47,0.8832865953445435,0.8834059238433838,0.8902082443237305,0.8857926726341248,0.00011932849884033203,-0.004415571689605713,-0.004534900188446045,0.002386748790740967
PubMed,0.9,5,65,0.8743958473205566,0.8823915123939514,0.8853153586387634,0.890387237071991,0.007995665073394775,0.005071878433227539,-0.0029237866401672363,0.00799572467803955
PubMed,0.9,5,83,0.8782743215560913,0.8860910534858704,0.8807804584503174,0.8752908706665039,0.007816731929779053,-0.0054895877838134766,-0.01330631971359253,-0.010800182819366455
Roman-Empire,0.1,1,11,0.5362612009048462,0.545397937297821,0.5469552874565125,0.5258786082267761,0.009136736392974854,-0.021076679229736328,-0.03021341562271118,-0.019519329071044922
Roman-Empire,0.1,1,29,0.5161190032958984,0.4275034964084625,0.5577012896537781,0.533769428730011,-0.08861550688743591,-0.02393186092376709,0.06468364596366882,0.10626593232154846
Roman-Empire,0.1,1,47,0.547318696975708,0.5190261006355286,0.5514197945594788,0.5442039370536804,-0.028292596340179443,-0.00721585750579834,0.021076738834381104,0.025177836418151855
Roman-Empire,0.1,1,65,0.517157256603241,0.4309297502040863,0.5381301045417786,0.5266054272651672,-0.08622750639915466,-0.011524677276611328,0.07470282912254333,0.09567567706108093
Roman-Empire,0.1,1,83,0.553548276424408,0.5125889182090759,0.5349633693695068,0.5274360179901123,-0.04095935821533203,-0.007527351379394531,0.0334320068359375,0.014847099781036377
Roman-Empire,0.1,2,11,0.5657997131347656,0.5741057991981506,0.5648652911186218,0.57664954662323,0.00830608606338501,0.011784255504608154,0.0034781694412231445,0.0025437474250793457
Roman-Empire,0.1,2,29,0.5428022742271423,0.5064112544059753,0.5710429549217224,0.5713024735450745,-0.03639101982116699,0.0002595186233520508,0.03665053844451904,0.06489121913909912
Roman-Empire,0.1,2,47,0.5256190299987793,0.5376109480857849,0.5632559657096863,0.5803353786468506,0.011991918087005615,0.017079412937164307,0.005087494850158691,0.042724430561065674
Roman-Empire,0.1,2,65,0.5100451707839966,0.5092145800590515,0.5784664750099182,0.5670456290245056,-0.0008305907249450684,-0.011420845985412598,-0.01059025526046753,0.0578310489654541
Roman-Empire,0.1,2,83,0.5447749495506287,0.4945231676101684,0.584955632686615,0.5688106417655945,-0.05025178194046026,-0.016144990921020508,0.03410679101943975,0.07428747415542608
Roman-Empire,0.1,3,11,0.5428022742271423,0.5799200534820557,0.5804392099380493,0.5724964737892151,0.03711777925491333,-0.007942736148834229,-0.04506051540374756,-0.007423579692840576
Roman-Empire,0.1,3,29,0.4749000668525696,0.5899392366409302,0.5929502248764038,0.567772388458252,0.1150391697883606,-0.025177836418151855,-0.14021700620651245,-0.022166848182678223
Roman-Empire,0.1,3,47,0.5771167278289795,0.585215151309967,0.5932098031044006,0.5739500522613525,0.008098423480987549,-0.019259750843048096,-0.027358174324035645,-0.011265099048614502
Roman-Empire,0.1,3,65,0.5922753214836121,0.5468514561653137,0.5802834630012512,0.5580127835273743,-0.04542386531829834,-0.022270679473876953,0.023153185844421387,0.011161327362060547
Roman-Empire,0.1,3,83,0.5768572092056274,0.4398068785667419,0.5689663887023926,0.5613352060317993,-0.13705033063888555,-0.007631182670593262,0.1294191479682923,0.12152832746505743
Roman-Empire,0.1,4,11,0.546072781085968,0.4812334477901459,0.5814255475997925,0.5396355390548706,-0.06483933329582214,-0.041790008544921875,0.02304932475090027,0.05840209126472473
Roman-Empire,0.1,4,29,0.5322639346122742,0.4915641248226166,0.5852670669555664,0.5707314610481262,-0.04069980978965759,-0.014535605907440186,0.026164203882217407,0.07916733622550964
Roman-Empire,0.1,4,47,0.4403779208660126,0.5293567776679993,0.5803353786468506,0.5630483031272888,0.0889788568019867,-0.017287075519561768,-0.10626593232154846,0.03369152545928955
Roman-Empire,0.1,4,65,0.4620775580406189,0.4835695326328277,0.578154981136322,0.5749883055686951,0.021491974592208807,-0.003166675567626953,-0.02465865015983576,0.09141877293586737
Roman-Empire,0.1,4,83,0.5567149519920349,0.4747962355613708,0.5692259669303894,0.5749363899230957,-0.08191871643066412,0.005710422992706299,0.08762913942337042,0.10014015436172491
Roman-Empire,0.1,5,11,0.5392721891403198,0.5418159365653992,0.5476301908493042,0.545397937297821,0.0025437474250793457,-0.0022322535514831543,-0.0047760009765625,0.003582000732421875
Roman-Empire,0.1,5,29,0.5200124382972717,0.5529772043228149,0.5713024735450745,0.546072781085968,0.03296476602554321,-0.025229692459106445,-0.05819445848464966,-0.006904423236846924
Roman-Empire,0.1,5,47,0.564605712890625,0.4870996177196502,0.5572859644889832,0.5442039370536804,-0.07750609517097479,-0.013082027435302734,0.06442406773567205,0.05710431933403021
Roman-Empire,0.1,5,65,0.542750358581543,0.5334579348564148,0.5635155439376831,0.5432694554328918,-0.009292423725128174,-0.02024608850479126,-0.010953664779663086,0.00981152057647705
Roman-Empire,0.1,5,83,0.4833618700504303,0.5808544754981995,0.5559362769126892,0.5540673732757568,0.09749260544776917,-0.001868903636932373,-0.09936150908470154,-0.026787102222442627
Roman-Empire,0.5,1,11,0.7816020250320435,0.7517520785331726,0.7803561091423035,0.7944245338439941,-0.02984994649887085,0.014068424701690674,0.04391837120056152,0.04267245531082153
Roman-Empire,0.5,1,29,0.7984737753868103,0.783886194229126,0.7839381098747253,0.8024710416793823,-0.014587581157684326,0.018532931804656982,0.03312051296234131,0.018584847450256348
Roman-Empire,0.5,1,47,0.7660800218582153,0.7454705834388733,0.7913097739219666,0.7988371253013611,-0.02060943841934204,0.007527351379394531,0.028136789798736572,0.05336654186248779
Roman-Empire,0.5,1,65,0.7423558235168457,0.7263665795326233,0.7877277731895447,0.7953070402145386,-0.015989243984222412,0.0075792670249938965,0.02356851100921631,0.06894046068191528
