run,dataset,model,depth,seed,best_epoch_1800,best_epoch_2000,best_epoch_2200,best_epoch_2400,best_val_1800,best_val_2000,best_val_2200,best_val_2400,gain_val_1800_2000,gain_val_2000_2200,gain_val_2200_2400,gain_val_2000_2400,test_best_2000,test_best_2400,gain_test_2000_2400,last100_val_slope
RW-PubMed-H0.5-LOW_GCNPairNorm_L4_H128_seed3_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,4,3,8,8,8,8,0.6181541681289673,0.6181541681289673,0.6181541681289673,0.6181541681289673,0.0,0.0,0.0,0.0,0.6186526417732239,0.6186526417732239,0.0,-2.80098842852056e-05
RW-PubMed-H0.5-LOW_GCNPairNorm_L4_H128_seed4_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,4,4,7,7,7,7,0.6435090899467468,0.6435090899467468,0.6435090899467468,0.6435090899467468,0.0,0.0,0.0,0.0,0.6289157867431641,0.6289157867431641,0.0,3.931122644506197e-05
RW-PubMed-H0.5-LOW_GCNPairNorm_L4_H128_seed5_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,4,5,14,14,14,14,0.6379310488700867,0.6379310488700867,0.6379310488700867,0.6379310488700867,0.0,0.0,0.0,0.0,0.6210394501686096,0.6210394501686096,0.0,4.351344725193665e-05
RW-PubMed-H0.5-LOW_GCNPairNorm_L8_H128_seed1_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,8,1,13,13,13,13,0.6130831241607666,0.6130831241607666,0.6130831241607666,0.6130831241607666,0.0,0.0,0.0,0.0,0.5908467173576355,0.5908467173576355,0.0,-0.00010748439925302948
RW-PubMed-H0.5-LOW_GCNPairNorm_L8_H128_seed2_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,8,2,391,391,391,2391,0.6024340391159058,0.6024340391159058,0.6024340391159058,0.6069979667663574,0.0,0.0,0.00456392765045166,0.00456392765045166,0.5992600917816162,0.5912643671035767,-0.00799572467803955,0.0001506418485094965
RW-PubMed-H0.5-LOW_GCNPairNorm_L8_H128_seed3_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,8,3,9,9,9,9,0.6019269824028015,0.6019269824028015,0.6019269824028015,0.6019269824028015,0.0,0.0,0.0,0.0,0.5946058630943298,0.5946058630943298,0.0,-0.00011113591534648734
RW-PubMed-H0.5-LOW_GCNPairNorm_L8_H128_seed4_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,8,4,155,155,155,155,0.6120689511299133,0.6120689511299133,0.6120689511299133,0.6120689511299133,0.0,0.0,0.0,0.0,0.5842830538749695,0.5842830538749695,0.0,4.818434762482402e-05
RW-PubMed-H0.5-LOW_GCNPairNorm_L8_H128_seed5_split0,RW-PubMed-H0.5-LOW,GCNPairNorm,8,5,598,598,598,598,0.5963488817214966,0.5963488817214966,0.5963488817214966,0.5963488817214966,0.0,0.0,0.0,0.0,0.5867295265197754,0.5867295265197754,0.0,-4.097566782015471e-05
RW-PubMed-H0.5-LOW_GCN_L2_H128_seed1_split0,RW-PubMed-H0.5-LOW,GCN,2,1,115,115,115,115,0.7332656979560852,0.7332656979560852,0.7332656979560852,0.7332656979560852,0.0,0.0,0.0,0.0,0.7262963056564331,0.7262963056564331,0.0,-6.1254185883451675e-06
RW-PubMed-H0.5-LOW_GCN_L2_H128_seed2_split0,RW-PubMed-H0.5-LOW,GCN,2,2,934,934,934,934,0.7175456285476685,0.7175456285476685,0.7175456285476685,0.7175456285476685,0.0,0.0,0.0,0.0,0.7162718176841736,0.7162718176841736,0.0,1.2463695681777607e-05
RW-PubMed-H0.5-LOW_GCN_L2_H128_seed3_split0,RW-PubMed-H0.5-LOW,GCN,2,3,272,272,272,272,0.7251521348953247,0.7251521348953247,0.7251521348953247,0.7251521348953247,0.0,0.0,0.0,0.0,0.7120352983474731,0.7120352983474731,0.0,1.9425818271332794e-05
RW-PubMed-H0.5-LOW_GCN_L2_H128_seed4_split0,RW-PubMed-H0.5-LOW,GCN,2,4,752,1884,2011,2011,0.7302231192588806,0.7312372922897339,0.7322515249252319,0.7322515249252319,0.0010141730308532715,0.0010142326354980469,0.0,0.0010142326354980469,0.7241482138633728,0.7217614054679871,-0.002386808395385742,-3.7976202577085223e-06
RW-PubMed-H0.5-LOW_GCN_L2_H128_seed5_split0,RW-PubMed-H0.5-LOW,GCN,2,5,116,116,116,116,0.7368153929710388,0.7368153929710388,0.7368153929710388,0.7368153929710388,0.0,0.0,0.0,0.0,0.7219404578208923,0.7219404578208923,0.0,-5.8484699788349984e-06
RW-PubMed-H0.5-LOW_GCN_L4_H128_seed1_split0,RW-PubMed-H0.5-LOW,GCN,4,1,1171,1171,1171,1171,0.6759634613990784,0.6759634613990784,0.6759634613990784,0.6759634613990784,0.0,0.0,0.0,0.0,0.655767023563385,0.655767023563385,0.0,-6.627133791775192e-05
RW-PubMed-H0.5-LOW_GCN_L4_H128_seed2_split0,RW-PubMed-H0.5-LOW,GCN,4,2,845,845,845,845,0.6622717976570129,0.6622717976570129,0.6622717976570129,0.6622717976570129,0.0,0.0,0.0,0.0,0.6493824124336243,0.6493824124336243,0.0,0.00013539383871362818
RW-PubMed-H0.5-LOW_GCN_L4_H128_seed3_split0,RW-PubMed-H0.5-LOW,GCN,4,3,111,111,111,111,0.656693696975708,0.656693696975708,0.656693696975708,0.656693696975708,0.0,0.0,0.0,0.0,0.6340473890304565,0.6340473890304565,0.0,0.00010179103833578142
RW-PubMed-H0.5-LOW_GCN_L4_H128_seed4_split0,RW-PubMed-H0.5-LOW,GCN,4,4,346,346,346,346,0.6754563450813293,0.6754563450813293,0.6754563450813293,0.6754563450813293,0.0,0.0,0.0,0.0,0.6632257103919983,0.6632257103919983,0.0,-2.1230244543544396e-05
RW-PubMed-H0.5-LOW_GCN_L4_H128_seed5_split0,RW-PubMed-H0.5-LOW,GCN,4,5,93,1909,1909,1909,0.6653143763542175,0.6673427820205688,0.6673427820205688,0.6673427820205688,0.0020284056663513184,0.0,0.0,0.0,0.6412076950073242,0.6412076950073242,0.0,4.235723767593792e-05
RW-PubMed-H0.5-LOW_GCN_L8_H128_seed1_split0,RW-PubMed-H0.5-LOW,GCN,8,1,1608,1994,1994,1994,0.4132860004901886,0.4153144061565399,0.4153144061565399,0.4153144061565399,0.0020284056663513184,0.0,0.0,0.0,0.4172086417675018,0.4172086417675018,0.0,4.4630238539886436e-05
RW-PubMed-H0.5-LOW_GCN_L8_H128_seed2_split0,RW-PubMed-H0.5-LOW,GCN,8,2,750,750,2148,2148,0.4340770542621612,0.4340770542621612,0.4345841705799103,0.4345841705799103,0.0,0.000507116317749079,0.0,0.000507116317749079,0.4086759388446808,0.4136881530284881,0.0050122141838073175,0.0001329199644741693
RW-PubMed-H0.5-LOW_GCN_L8_H128_seed3_split0,RW-PubMed-H0.5-LOW,GCN,8,3,1598,1598,1598,1598,0.4061866104602813,0.4061866104602813,0.4061866104602813,0.4061866104602813,0.0,0.0,0.0,0.0,0.4001432061195373,0.4001432061195373,0.0,-1.15631437144317e-06
RW-PubMed-H0.5-LOW_GCN_L8_H128_seed4_split0,RW-PubMed-H0.5-LOW,GCN,8,4,1753,1753,1753,1753,0.4173427820205688,0.4173427820205688,0.4173427820205688,0.4173427820205688,0.0,0.0,0.0,0.0,0.412852793931961,0.412852793931961,0.0,9.4025853228864e-06
RW-PubMed-H0.5-LOW_GCN_L8_H128_seed5_split0,RW-PubMed-H0.5-LOW,GCN,8,5,22,22,22,22,0.4077078998088836,0.4077078998088836,0.4077078998088836,0.4077078998088836,0.0,0.0,0.0,0.0,0.3791992366313934,0.3791992366313934,0.0,5.285546044990645e-06
