dataset,model,depth,seed,best_epoch,best_val,test_best,target_h,realized_h
RW-PubMed-H0.5-LOW,GraphSAGE,4,4,2202,0.813894510269165,0.8060146570205688,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,4,5,2134,0.8098376989364624,0.8076257109642029,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,7,1,1,0.3995943069458008,0.39936748147010803,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,7,2,1000,0.7910750508308411,0.7820872068405151,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,7,3,603,0.7591277956962585,0.7563100457191467,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,7,4,1,0.3995943069458008,0.39936748147010803,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,7,5,1,0.3995943069458008,0.39936748147010803,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,8,1,2,0.3995943069458008,0.39936748147010803,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,8,2,1,0.3995943069458008,0.39936748147010803,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,8,3,1,0.3995943069458008,0.39936748147010803,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,8,4,1,0.3995943069458008,0.39936748147010803,0.5,0.5000225901603699
RW-PubMed-H0.5-LOW,GraphSAGE,8,5,1,0.3995943069458008,0.39936748147010803,0.5,0.5000225901603699
RW-PubMed-H0.9-LOW,GCNPairNorm,2,1,50,0.9132859706878662,0.9005310535430908,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCNPairNorm,2,2,35,0.8975659012794495,0.8961751461029053,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCNPairNorm,2,3,25,0.9097362756729126,0.900948703289032,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCNPairNorm,2,4,36,0.8990871906280518,0.9010680317878723,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCNPairNorm,2,5,43,0.8940162062644958,0.8979055881500244,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCNPairNorm,4,1,1815,0.9132859706878662,0.8953397870063782,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCNPairNorm,4,2,2232,0.9021297693252563,0.8970105648040771,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCNPairNorm,4,3,12,0.9011155962944031,0.9010083675384521,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCNPairNorm,4,4,17,0.9046652913093567,0.8975475430488586,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCNPairNorm,4,5,13,0.8919878005981445,0.9004713892936707,0.9,0.8999864459037781
