dataset,model,uses_pairnorm,num_layers,hidden_channels,seed,graph_seed,split_idx,target_homophily,realized_homophily,feature_signal,best_epoch,nearest_best_metric_epoch,final_metric_epoch,best_train_acc,best_val_acc,best_test_acc,best_pairwise_distance,best_edge_distance,best_rank_ratio,best_normalized_dirichlet,final_pairwise_distance,final_edge_distance,final_rank_ratio,final_normalized_dirichlet
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,7,128,3,3,0,0.1,0.10047942399978638,0.5,3,2,200,1.0,1.0,0.9994117021560669,0.998242735862732,1.1446106433868408,0.7116799354553223,2.2611979608917583,0.98448246717453,1.478142023086548,0.0263394899666309,3.1389423167480066
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,8,128,3,3,0,0.1,0.10047942399978638,0.5,4,4,200,1.0,1.0,0.9988234639167786,1.0001047849655151,1.6638283729553225,0.4341789186000824,3.344215087288819,0.9934093952178956,1.612493872642517,0.0227426383644342,3.3506410042056487
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,2,128,4,4,0,0.1,0.09760119765996933,0.5,39,32,200,1.0,0.7249999642372131,0.6635293960571289,0.9889744520187378,1.0234363079071045,0.5527330040931702,2.0677374520602343,0.964737832546234,0.9922823905944824,0.4054900705814361,2.0204427949917
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,7,128,4,4,0,0.1,0.09760119765996933,0.5,31,32,200,1.0,1.0,0.9999999403953552,0.5670996904373169,1.0263206958770752,0.0128274019807577,2.1289549240638936,0.6186672449111938,1.1235204935073853,0.0130531778559088,2.3167353924125256
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,8,128,4,4,0,0.1,0.09760119765996933,0.5,1,1,200,0.5,0.5,0.4999999701976776,5.859136581420898e-05,5.503011925611645e-05,0.3349778652191162,0.0001530680277942,1.1920928955078125e-07,0.0,0.0081885596737265,1.8850580334101985e-18
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,2,128,4,4,0,0.1,0.09760119765996933,0.5,103,100,200,1.0,0.8299999833106995,0.7982352375984192,1.000357747077942,1.098098874092102,0.422931969165802,2.2723998690125047,1.0004878044128418,1.079555630683899,0.4115205705165863,2.2082278578341867
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,7,128,4,4,0,0.1,0.09760119765996933,0.5,4,4,200,1.0,1.0,0.9994117021560669,0.9996309876441956,1.7347580194473269,0.3094018697738647,3.497217564729872,0.973133623600006,1.4659513235092163,0.0270980726927518,3.174461523862613
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,8,128,4,4,0,0.1,0.09760119765996933,0.5,4,4,200,1.0,1.0,0.9999999403953552,0.9997469782829284,1.662894368171692,0.429555207490921,3.3549920232653023,0.9780365228652954,1.4991350173950195,0.0223893411457538,3.2814367588248383
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,2,128,5,5,0,0.1,0.10260676592588425,0.5,21,16,200,1.0,0.6549999713897705,0.677647054195404,0.9917492866516112,1.0171594619750977,0.5994095206260681,2.032445094181593,0.9795504212379456,0.9915077686309814,0.4180710315704345,1.984206989145588
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,7,128,5,5,0,0.1,0.10260676592588425,0.5,91,100,200,1.0,1.0,0.994705855846405,0.568290650844574,1.010478377342224,0.0177756175398826,2.1115295175571687,0.6061023473739624,1.0904808044433594,0.0144456783309578,2.257259788472907
