model,distance,width,graph_seed,init_seed,layers,best_epoch,test_acc,matched_influence,distractor_influence,specificity
GraphSAGE,10,8,3,47,10,29,0.6897786458333334,0.23046194249764085,0.2386432527564466,0.4912798767285481
GraphSAGE,10,8,4,11,10,38,0.7001953125,0.2621418077033013,0.23980593169108033,0.5222492047061768
GraphSAGE,10,8,4,29,10,28,0.7197265625,0.26777651789598167,0.24800069781485945,0.5191708934378082
GraphSAGE,10,8,4,47,10,24,0.7041015625,0.20713275950402021,0.1898080746177584,0.5218227546726814
GraphSAGE,10,8,5,11,10,47,0.6875,0.29352097772061825,0.28069029666949064,0.5111724391546764
GraphSAGE,10,8,5,29,10,26,0.7037760416666666,0.3374503329396248,0.29098903597332537,0.5369656161465445
GraphSAGE,10,8,5,47,10,31,0.7037760416666666,0.240297979908064,0.20651129831094295,0.5378088406430592
GraphSAGERewired,10,8,1,11,10,4,1.0,0.005836867756443098,4.489591878265031e-07,0.9999230879169966
GraphSAGERewired,10,8,1,29,10,4,1.0,0.027001065260265023,4.864827592321319e-06,0.9998198607277619
GraphSAGERewired,10,8,1,47,10,5,1.0,0.006454285223298939,5.808255330475021e-06,0.9991009021233531
GraphSAGERewired,10,8,2,11,10,5,1.0,0.06873641151469201,1.3520092652541393e-05,0.9998033438966956
GraphSAGERewired,10,8,2,29,10,3,1.0,0.004427788262546528,2.188915563472449e-06,0.9995058853635195
GraphSAGERewired,10,8,2,47,10,5,1.0,0.003137434972813935,2.2767299885373404e-06,0.9992748598586998
GraphSAGERewired,10,8,3,11,10,4,1.0,0.008208853280848416,7.084624910058679e-07,0.9999137026417403
GraphSAGERewired,10,8,3,29,10,4,1.0,0.023424924060236663,7.306133356088651e-06,0.9996882014944624
GraphSAGERewired,10,8,3,47,10,4,1.0,0.001450916932299151,1.3392631773023744e-06,0.9990778044669034
GraphSAGERewired,10,8,4,11,10,3,1.0,0.005480710756273766,6.790872918993607e-07,0.9998761101999389
GraphSAGERewired,10,8,4,29,10,4,1.0,0.01261897033691639,1.552908129642816e-06,0.999876953665124
GraphSAGERewired,10,8,4,47,10,5,1.0,0.01085238902214769,2.3784569214146956e-06,0.9997808835679085
GraphSAGERewired,10,8,5,11,10,4,1.0,0.019336912911967374,1.0810672721461856e-06,0.9999440961522044
GraphSAGERewired,10,8,5,29,10,3,1.0,0.002841308791175834,9.546112025304865e-07,0.999664136616826
GraphSAGERewired,10,8,5,47,10,4,1.0,0.002939817698461411,1.4392581801914162e-06,0.9995106652696725
GraphSAGE,2,1,1,11,2,379,0.7926432291666666,1.359514786861837,0.2512844424054492,0.8440001473550515
GraphSAGE,2,1,1,29,2,399,0.7789713541666666,1.3058871096000075,0.30333253186836373,0.8115033373614603
GraphSAGE,2,1,1,47,2,390,0.7698567708333334,1.1287987800315022,0.25343421392608434,0.8166487017494262
GraphSAGE,2,1,2,11,2,303,0.7177734375,0.7615084429271519,0.18796439503785223,0.8020328886484879
GraphSAGE,2,1,2,29,2,388,0.7718098958333334,1.1720350850373507,0.27005539847596083,0.8127333883940155
GraphSAGE,2,1,2,47,2,395,0.7568359375,0.9717326015233994,0.215819273784291,0.8182653926345816
GraphSAGE,2,1,3,11,2,398,0.7477213541666666,0.866967627312988,0.24408283019147348,0.7803134605241151
GraphSAGE,2,1,3,29,2,398,0.7727864583333334,1.2557718171738088,0.27869993288913975,0.818374021627622
GraphSAGE,2,1,3,47,2,397,0.7626953125,1.0126747216563672,0.243134669126448,0.806392060043686
GraphSAGE,2,1,4,11,2,396,0.7630208333333334,1.3245875034481287,0.25541017177602043,0.8383477546948765
GraphSAGE,2,1,4,29,2,347,0.7705078125,1.191402018070221,0.24988759802363347,0.8266222171906719
GraphSAGE,2,1,4,47,2,392,0.7604166666666666,1.1579858781769872,0.2601184301893227,0.8165731331217786
GraphSAGE,2,1,5,11,2,398,0.7734375,1.058484559878707,0.2159738426853437,0.8305367658515476
GraphSAGE,2,1,5,29,2,383,0.7877604166666666,1.530693200416863,0.3346147258125711,0.8206115349063101
GraphSAGE,2,1,5,47,2,357,0.7623697916666666,1.0334412751253694,0.24289964813215192,0.8096906212855537
GraphSAGERewired,2,1,1,11,2,2,1.0,0.046706457735126605,0.000362470580171248,0.9922991537275826
