model_base,distance,width,graph_seed,n_init_base,test_acc_base,matched_influence_base,distractor_influence_base,specificity_base,model_rewired,n_init_rewired,test_acc_rewired,matched_influence_rewired,distractor_influence_rewired,specificity_rewired,accuracy_gain_pp,specificity_gain
GraphSAGE,2,4,5,3,0.8778211805555557,4.041114618613695,0.677473908746227,0.741244867541512,GraphSAGERewired,3,1.0,0.05779291751241544,0.0023280360943166065,0.9601526118620548,12.21788194444443,0.21890774432054283
GraphSAGE,2,8,1,3,0.8987630208333334,3.194496868385007,1.0529605917836307,0.6695091390849882,GraphSAGERewired,3,1.0,0.0631960867443316,0.004986379020503288,0.925589750380138,10.123697916666663,0.2560806112951498
GraphSAGE,2,8,2,3,0.7970920138888888,1.1701697003857892,0.4547879308483971,0.5805416342511351,GraphSAGERewired,3,1.0,0.0606948330726785,0.004996043091523461,0.9241996877171802,20.290798611111114,0.34365805346604505
GraphSAGE,2,8,3,3,0.8980034722222223,3.301190221175299,1.075899379086574,0.6896385300459423,GraphSAGERewired,3,1.0,0.06043169672193471,0.005015505097314114,0.9235465176625319,10.199652777777768,0.2339079876165896
GraphSAGE,2,8,4,3,1.0,5.262630115728825,2.0279347896575928,0.7204712958918407,GraphSAGERewired,3,1.0,0.06004074828888406,0.004821849501392232,0.9238207149844886,0.0,0.20334941909264792
GraphSAGE,2,8,5,3,0.8971354166666666,3.693746968987398,1.412978612196942,0.6517047130067963,GraphSAGERewired,3,1.0,0.060916254181241435,0.004934595967824862,0.9229004302522054,10.286458333333337,0.27119571724540903
GraphSAGE,4,1,1,3,0.615234375,0.14385750583460322,0.07392957949317254,0.6493472488382568,GraphSAGERewired,3,1.0,0.05303206291500828,8.8547455375713e-05,0.9979905804751313,38.4765625,0.34864333163687455
GraphSAGE,4,1,2,3,0.576388888888889,0.05021911392941547,0.03168677067030027,0.5845728538268495,GraphSAGERewired,3,1.0,0.06024404572963249,9.51541949281894e-05,0.9981413830067236,42.36111111111111,0.4135685291798741
GraphSAGE,4,1,3,3,0.603298611111111,0.06992338643188607,0.053072069344428506,0.5642650661577248,GraphSAGERewired,3,1.0,0.012476950348476143,6.0325686317715586e-05,0.9943531097508714,39.67013888888889,0.4300880435931467
GraphSAGE,4,1,4,3,0.6078559027777778,0.16552504012239902,0.05604965086119288,0.7097582024327135,GraphSAGERewired,3,1.0,0.05732086217176402,0.00010375977217336185,0.9979143887734508,39.21440972222222,0.28815618634073736
GraphSAGE,4,1,5,3,0.6047092013888888,0.11438383383695812,0.06127419814356472,0.64108338818562,GraphSAGERewired,3,1.0,0.035594523605444316,7.083336818780595e-05,0.99760584900831,39.529079861111114,0.3565224608226899
GraphSAGE,4,2,1,3,0.5942925347222222,0.028639868927712087,0.028482276536427282,0.49754196129683415,GraphSAGERewired,3,1.0,0.046203370599262904,0.0001910131303570021,0.9909697601295209,40.57074652777778,0.4934277988326867
GraphSAGE,4,2,2,3,0.6223958333333334,0.09240329343204697,0.06679278871160932,0.5651660747181989,GraphSAGERewired,3,1.0,0.06006372311458108,0.00022036023390370474,0.995888363625813,37.760416666666664,0.4307222889076141
GraphSAGE,4,2,3,3,0.7007378472222222,1.5061496595735662,0.44911092626474175,0.6831365558618202,GraphSAGERewired,3,0.9993489583333334,0.020591323264549526,0.0001527333260256114,0.9923312247448092,29.861111111111114,0.30919466888298897
GraphSAGE,4,2,4,3,0.6809895833333334,0.44917342154561385,0.1591457806522764,0.7144400537471342,GraphSAGERewired,3,1.0,0.05639261971737142,0.00020793728324027447,0.9956463236355347,31.901041666666664,0.2812062698884006
GraphSAGE,4,2,5,3,0.6702473958333334,0.40550236392300576,0.14314078266518968,0.6454341326184664,GraphSAGERewired,3,0.9997829861111112,0.035701909677906464,0.0001483743165759203,0.995016398612338,32.95355902777778,0.34958226599387165
GraphSAGE,4,4,1,3,0.7020399305555555,0.7709716894896701,0.3684834014275111,0.56516102203206,GraphSAGERewired,3,1.0,0.053468899538226346,0.0004903102798531714,0.9893553049458802,29.796006944444454,0.4241942829138202
