model,distance,width,n_graphs,accuracy_mean,accuracy_sd,specificity_mean,specificity_sd,influence_mean,influence_sd
GraphSAGE,8,4,5,0.6543836805555555,0.02419794876408637,0.5349534605955808,0.047822807261010444,0.4328165004426713,0.5040771514259939
GraphSAGE,8,8,5,0.7004123263888888,0.007074203424933631,0.5103999177397229,0.014067932110729325,0.2476668447695478,0.04369546065402545
GraphSAGE,10,1,5,0.5702907986111112,0.003849626985393983,0.5111479763573186,0.01704709167452238,0.01141892234137452,0.004146624347962269
GraphSAGE,10,2,5,0.5999565972222223,0.007206282673304515,0.5222739941745491,0.043605196979125314,0.06872016463330885,0.08489089052501725
GraphSAGE,10,4,5,0.6539279513888889,0.015232110406133733,0.5486808510998494,0.04655005684053752,0.6329616624507253,0.5372542302184242
GraphSAGE,10,8,5,0.733224826388889,0.04450177892038829,0.5239282889733585,0.019773444818681273,1.7436080736340955,2.782432813444072
GraphSAGEPairNorm,2,1,5,0.964040798611111,0.003085873402405107,0.9043189523073861,0.006245247077252499,3.976020158206423,0.08291505000858457
GraphSAGEPairNorm,2,2,5,0.9754774305555556,0.00571029070986745,0.9023032759125451,0.0037325565691649224,3.475861400117477,0.20461168940784905
GraphSAGEPairNorm,2,4,5,0.9903645833333334,0.003565406768516792,0.8800146175734849,0.002061326957101771,2.879305073991418,0.21818130723295573
GraphSAGEPairNorm,2,8,5,0.9993272569444445,0.0010219257532960578,0.7923120102517152,0.01370519811893874,0.6381207337292533,0.048864605012461336
GraphSAGEPairNorm,4,1,5,0.9815538194444444,0.003748596933620821,0.9343156501258191,0.003571111396674255,5.5476109981536865,0.4045300074731289
GraphSAGEPairNorm,4,2,5,0.9842664930555556,0.0032316129799990143,0.9240250395816745,0.001651951173820566,5.119944590578476,0.3828365667234761
GraphSAGEPairNorm,4,4,5,0.98828125,0.001891883222022853,0.8929776657934999,0.007491562701355634,4.176779905830821,0.6044668420252082
GraphSAGEPairNorm,4,8,5,0.9968315972222221,0.0011416456977050835,0.8156009281550572,0.007958557989468226,2.9028171124557653,0.3342871534296132
GraphSAGEPairNorm,6,1,5,0.9761501736111111,0.006472054948223239,0.9363306250927854,0.007605348314074958,5.079540539284547,0.526348096102508
GraphSAGEPairNorm,6,2,5,0.9819661458333334,0.0027657566628570027,0.9312718617740405,0.0046791052053352655,5.102547314763069,0.2646227117166494
